"ID","Text"
"boggart/1","The usual for the Veiled Monarch."
"boggart/2","Coming right up."
"boggart/3","Gramercy"
"boggart/4","Good doing business with ya as always."
"boggart/5","x699"
"boggart/6","Marika's tits, you must be 'ungry."
"boggart/7","Pft!"
"boggart/8","*Whisper* Sister you will love to hear this."
"boggart/9","Brother. There are her statues and paintings all over the land."
"boggart/10","Ah but you see dear sister, a ""good"" rumour yields potency as much as evidence."
"boggart/11","People adore anecdotes. Our minds are fashioned to focus on peculiars amidst the banals."
"boggart/12","And imagine their face when they see the real things!"
"boggart/13","Miquella, you are most fearsome in a peculiar way."
"boggart/14","But very well. Do be careful not to catch mother's ire. "
"boggart/15","Of course, dear sister. Of course."
"boggart/16","All right, here you go, mate."
"boggart/17","Thank you."
"boggart/18","Tarnished. Hold a moment."
"boggart/19","Why must thee waste thy runes on these boiled crustaceans?"
"boggart/20","Thou just spent 419,400 runes. That is almost the soul of a god."
"boggart/21","My beloved."
"boggart/22","Wonderful."
"boggart/23","*Sigh* Fine. Fine. Do share some with Blaidd and Iji later."
"boggart/24","Bah, go have your lover spat somewhere else."
"boggart/25","One boiled prawn, please."
"boggart/26","Sure thing."
"boggart/27","There. Most fresh and plump catch of the day."
"boggart/28","Here, brother."
"boggart/29","Juicy!"
"boggart/30","Of course, it is. How about a go with boiled crab? You will love it."
"boggart/31","Do you wish to, brother?"
"boggart/32","Mhmm!"
"boggart/33","You heard him."
"boggart/34","Perfect. A moment then."
"boggart/35","There ya go. Cooked up fresh."
"boggart/36","Good."
"boggart/37","Careful of the heat, brother."
"boggart/38","Mhmm…..."
"boggart/39","Well, would you like some more takeaway back home, brother?"
"boggart/40","Of course, sister! We should get for Lorretta and Finlay too."
"boggart/41","Ah. Afraid am all out for the day."
"boggart/42","What about those in the pot?"
"boggart/43","These are for me self. A man gotta eat after a hard day of work. "
"boggart/44","Come back next day, eh?"
"boggart/45","Hmm, forgive me a moment brother."
"boggart/46","Sell me those. Take that big one as a compensation."
"boggart/47","Bloody hell. You drive a tight bargain, lady."
"boggart/48","Well fine. But since you like it so much, help spread the word of my venture eh?"
"boggart/49","Hmm. I suppose we can do that."
"boggart/50","Blackguard Big Boggart became known as the Lord of Seafoods some years thenceforth."
"boggart/51","And the exaltation of Marika's bosoms spread like wildfire ever after with the help of a certain golden boy. "
"boggart/52","Thus, born her less-spoken but all-known moniker, Marika the Bountiful, despite their modest size in truth."
"meta/1","You Are Gay."
"meta/2","OH MY."
"meta/3","SEX, NIHIL!"
"meta/4","Wonderful."
"meta/5","Sister."
"meta/6","Trina"
"meta/7","I think I am gay now."
"meta/8","WHAT!?"
"meta/9","Make Michael stop… Don’t turn the poor Miquella into an idiot…"
"meta/10","You must kill Miquella."
"meta/11","Save him from this undeserved fate of a retcon."
"crab/1","You again. Back for more?"
"crab/2","Yes! My sister give me some pocket changes. How much are your produces again?"
"crab/3","Very good, chief. Fleshly boiled prawn for 600 runes and crab for 800 runes. Just for you."
"crab/4","Hmm, how shall I spend my budget to satisfy my needs for the day?"
"crab/5","One boiled crab, please!"
"crab/6","One boiled prawn, please!"
"crab/7","Mhmm, juicy!"
"crab/8","Hmm I still want more, what should I do next?"
"crab/9","Ahh so good! I must come back for more next day!"
"crab/10","Aww, I am out of runes. I am not sated at all! I must come back again tomorrow."
"crab/11","Come back again eh!"
"teaparty/1","How are you doing these fine days, Mister Rabbit and Miss Cat?"
"teaparty/2","Meep!"
"teaparty/3","Meow!"
"teaparty/4","Good, good! Me too! And you two? Mister Sun, Mistress Moon."
"teaparty/5","Apologies, I am not too late, am I?"
"teaparty/6","Miquella! Not at all. Come, come."
"teaparty/7","Hello, everyone! Thank you all for joining me for today's party."
"teaparty/8","But uhh... I should mention that I still have never attended a real tea party before."
"teaparty/9","So our gathering today may not be truly authentic."
"teaparty/10","Not to worry. We all trust you to make this party a great one regardless."
"teaparty/11","Mhm. Thank you, Trina."
"teaparty/12","Well then, let's start our little party. I have prepared enough for everyone!"
"teaparty/13","Meep meep!"
"teaparty/14","Lovely!"
"teaparty/15","Here we have Red Tea from Ranah! Freshly brewed and good to drink."
"teaparty/16","Thank you, dear Miquella. So, do we need to do anything before we drink?"
"teaparty/17","Hmm. I think we are to do a cup clinking to start."
"teaparty/18","Cup clinking? Like a toast?"
"teaparty/19","Well, similar purpose. But we hit our cups together and cheer... I think."
"teaparty/20","Oh, I see. Here we go then."
"teaparty/21","Thanks, Miquella. For the party today, cheer!"
"teaparty/22","Meep!"
"teaparty/23","Meow!"
"teaparty/24","Ah, thank you. Cheers to you all as well!"
"teaparty/25","Hmm, what a peculiar scent. A mix of young wood, earthy, and… something sharp?"
"teaparty/26","Kind of an unexpected smell from a drink, right?"
"teaparty/27","Indeed. It sure seems to get lot of things mixed in. Let's have a try."
"teaparty/28","Aah, so many flovours."
"teaparty/29","A bit sweet, smooth, and tingly. Oh, what is this warmth throughout?"
"teaparty/30","I am told it is because of the mixture of medicinal spices."
"teaparty/31","Here, have a try with this honey date loaf!"
"teaparty/32","So soft and sweet. Yum!"
"teaparty/33","They go quite well together. \n Very nice!"
"teaparty/34","I am glad to hear!"
"teaparty/35","And we also have almond honey ice creams."
"teaparty/36","Cherry jam breads."
"teaparty/37","Gingerbreads."
"teaparty/38","Rose puddings."
"teaparty/39","Saffron cheesecakes."
"teaparty/40","And berry pies. Take your pick!"
"m3/h1","Where have you BEEN? I sent the boy out twice."
"m3/h2","I know. I know. Look - just look. Please."
"m3/h3","Allah preserve us. Where did you find this?"
"m3/h4","Don't ask. It's not stolen. It's not - please, just hide it."
"m3/h5","How much is it. We need to weigh it. I won't sleep otherwise."
"m3/h6","No one can know. No one."
"m3/h7","Then I'll borrow a scale. Your brother's wife has one. I'll say it's for spices."
"m3/q1","She walked the short path between the houses with a covered basket. Qasim's wife answered, all warmth and questions she pretended not to ask."
"m3/q2","Just for the afternoon, sister. Spices. I'll have it back before sundown."
"m3/q3","Qasim's wife smiled and fetched the scale. The moment her sister-in-law turned, she pressed beeswax into the underside of the dish."
"m3/q4","By dawn, the scale was returned. A single gold dinar was stuck to the wax. Qasim's wife went to her husband before the sun was fully up."
"m3/c1","Hammering on the door, before the rooster."
"m3/c2","BROTHER. Open this door."
"m3/c3","Qasim. It's barely light - what -"
"m3/c4","A gold dinar. Stuck to the bottom of MY scale. Tell me how a man who chops firewood for a living comes home with enough gold to need WEIGHING."
"m3/c5","I - Qasim - it's not what -"
"m3/c6","Tell me, or I go to the magistrate before noon. Your wife. Your house. Your boy. Everything."
"m3/c7","There's a cave. In the forest. The forty thieves. Their hoard. A door that opens with a word."
"m3/c8","What word."
"m3/c9","...Open, Sesame."
"m3/c10","Qasim left without another word. Ali Baba sat on the floor and did not move for a long time."
"m3/1","He knows, Marjana. He found the coin. He says he'll report me to the authorities."
"m3/2","What did you tell him, master?"
"m3/3","Everything. The cave, the password. I had no choice - he would have ruined us."
"m3/4","You told him the password?"
"m3/5","He's my brother."
"m3/6","Then he'll go to the cave, master."
"m3/7","I told him not to go alone."
"m3/8","He'll go alone."
"m3/end","(Click to continue...)"
"m4/flash1","Ali Baba had gone to the cave at dusk. He found his brother where the thieves had left him."
"m4/flash2","Hands bound. Rope around his neck. The treasure piles around him untouched, mocking."
"m4/flash3","He cut his brother down. Wrapped him in a rug. Carried him home through the dark."
"m4/1","Oh God. Oh God. What have I done."
"m4/2","Master. Listen to me. We grieve later. Right now, if anyone finds out how he really died, the thieves will know someone else has the secret. We need to make this look natural."
"m4/3","How?"
"m4/4","Let me handle it, master. Trust me."
"m4/5","How did you do all that?"
"m4/6","I paid attention, master. That is all."
"m4/end","(Click to continue...)"
"m4/B1","Master, no. I can't fix this. The thieves will know. We have to run. Tonight. Wake your wife. Wake the boy. The donkeys will carry us as far as the next valley."
"m4/B2","Run? Marjana, this is my home. My father's house —"
"m4/B3","It won't be ours much longer if we stay. Please, master. Please."
"m4/B4","They left before midnight, the donkeys laden with what little they could carry. The courtyard stood dark and silent behind them."
"m4/B5","By dawn, the thieves came. They found the gate unbarred, the hearth still warm, the silver gone. They knew."
"m4/B6","Forty horses move faster than two donkeys carrying a household. They tracked them three days down the western road."
"m4/B7","Whatever happened in those last hours by the roadside, the merchants who came that way the next morning did not speak of it. The cart was overturned. The donkeys were gone. Everything else stayed where it had fallen."
"m_replay_grieve","( Click to retry — back to the cave, back to the choice. )"
"m5/flash1","By morning, the neighbours had been told. Qasim had taken ill in the night. A fever, sudden and cruel."
"m5/flash2","The tailor's stitches held. The shroud hid the rope. Mourners came, and saw what they were meant to see."
"m5/flash3","Three days. No suspicion. The thieves' secret stayed buried with the man they thought they had silenced."
"m5/1","Old man. A coin if you'll come with me, blindfold, no questions."
"m5/2","Marjana, what are you -"
"m5/3","Master, I will handle the body. You hold the funeral. Visitors. Mourning. Make it normal."
"m5/4","These are the strangest stitches I have sewn. But a coin is a coin."
"m5/5","Three days of mourning, master. Neighbours come. They believe Qasim died of fever. No suspicion."
"m5/6","I owe you. Again. And again."
"m5/7","We're not done yet, master. The thieves will come back."
"m5/end","(Click to continue...)"
"m6t/1","I am a stranger in this town. I am told there was a strange... bit of seamstress work done not long ago. A body, perhaps. Stitched in pieces."
"m6t/2","I am a tailor. I sew what people pay me to sew. I do not remember faces."
"m6t/3","A coin says you do."
"m6t/4","I was blindfolded. I could not see the house. But - I could lead you there if you let me try."
"m6t/5","The tailor walked with eyes covered, counting his steps, listening to the streets. The thief followed in silence."
"m6t/6","Here. The smell of bread. The turn at the well. This is the house."
"m6t/7","Good. Take your coin and forget my face."
"m6t/8","The thief drew a thick chalk cross on Ali Baba's door, then left to fetch his master and the company."
"m6t/9","Marjana returned from the well. She saw the mark before her foot touched the threshold."
"m6t/10","A cross. On our door. Drawn fresh. They have found us."
"m6t/11","She took her own chalk and walked the street. Every door. The same cross, fresh and bold. By nightfall the whole quarter wore the same mark."
"m6t/12","You marked the wrong house?"
"m6t/13","Captain - I marked the right one. I swear it. But every door in the street wore the same cross when I returned."
"m6t/14","Then someone in that house knew you came. And they made you blind. Useless."
"m6t/15","The chief drew his blade. The first thief did not see the cave again."
"m6t/end","(Click to continue...)"
"m6t/B1","She wiped a hand across the chalk, smudged it half away. Children's marks. The thieves wouldn't be so obvious. She told herself this on the way to the well, and again on the way back, and almost believed it."
"m6t/B2","By midnight the gate was barred. By the second hour past midnight, the thieves came. Forty men, one door — the bar gave way on the third strike."
"m6t/B3","When they were finished, they put the house to flame so no one could speak of what they had seen inside."
"m6t/B4","By morning the smoke had cleared. The neighbours never asked who had lived there. They never spoke of the night they heard screaming."
"m_fin_mark","One look the other way. That was all it took."
"m_replay_chalk","( Click to retry — back to the chalk on the door. )"
"m7a/1","Another of you. Take the red chalk. The white was too easily copied."
"m7a/2","Captain. I will not fail."
"m7a/3","The second thief found the same tailor, paid the same coin, walked the same blindfolded path. He drew his cross in red - thick, bright, unmistakable."
"m7a/4","Red this time. They learn quickly."
"m7a/5","She took red chalk and walked the street again. By the time the thieves arrived, every door wore the same red mark."
"m7a/6","Red this time. And every door wears it. Tell me how that happens."
"m7a/7","Captain - there must be a witch in that house - "
"m7a/8","There is a witness. And you led them to me."
"m7a/9","The second thief joined the first. The chief looked at his remaining men, and his eyes were cold."
"m7a/10","Then I go myself. And I bring all of you. We will end this in their own home."
"m7a/end","(Click to continue...)"
"m8b/1","I will not send another. The next mark will be in my own memory."
"m8b/2","He came to town in plain travelers' robes. The same tailor's shop. A different voice. The same coin."
"m8b/3","You again? Different voice this time."
"m8b/4","Same path. Same blindfold. No marks."
"m8b/5","He counted the doors. The cracks in the lintel. The angle of the hanging lantern. He memorised everything."
"m8b/6","Tomorrow night. We come as oil merchants. Thirty-eight jars - thirty-seven for you, one for the oil. Each man with his blade ready under the cloth."
"m8b/7","What Ali Baba did not see: thirty-seven men, breathing slow and quiet inside thirty-seven jars. Each with a blade across his knees. Each waiting for one signal from his captain."
"m8b/8","Hello in the house! An honest oil merchant calling. Caught short by nightfall. Master, would you open the gate and grant a traveler shelter for the night?"
"m8b/9","(through the door) A moment, friend! ... Of course - the road is no place to spend the dark. There is room in the courtyard for your jars. Come in, come in. Share our table."
"m8b/10","Ali Baba opened the gate. The captain led his donkey train inside, jar by jar by jar. The gate closed behind them. The trap was complete."
"m8b/end","(Click to continue...)"
"m9/1","Thirty-seven of them. Burned alive in oil. By a girl. By a girl."
"m9/2","I will not come at this house with men again. Men fail. I will come at it with friendship."
"m9/3","Months passed. The captain shaved his beard close, oiled his hair, traded his cloak for embroidered silks. He took a name - Khawaja Husain - and a small shop in the cloth market, two doors down from the boy who sold his father's wares."
"m9/4","Good morning. New cloth in this morning - Damascus blue, Hindi gold thread. Tell me, your father's house - does he have a use for fine drapes?"
"m9/5","You're new in the market. Where from?"
"m9/6","Aleppo, originally. Then Mosul. Then everywhere. A man with no father takes the road for company."
"m9/7","More mornings. Dates shared at the stall. Stories from cities the boy had never seen. The captain was patient. He had learned, finally, the value of patience."
"m9/8","Khawaja, my father wishes to thank you for your kindness to me. Will you come and share our table tonight?"
"m9/9","I would be honoured, my friend. Honoured beyond words."
"m9/10","The captain went home and sharpened a thin curved blade. He hid it under the embroidered robe his new friend had complimented twice that week."
"m9/end","(Click to continue...)"
"m6/1","The lamp is out. I need oil from the courtyard jars."
"m6/2","These jars... too heavy for oil. And the merchant's mules wouldn't have carried this much."
"m6/3","(from inside the jar) Is it time?"
"m6/4","Thirty-eight jars. Thirty-eight men. Asleep one on top of the other."
"m6/A1","Not yet. Soon."
"m6/A4","Thirty-seven armed men. Maybe ten seconds before the first jar opens. Bolt the gate. Hay. The kitchen fire."
"m6/A5","Real oil from the last jar. Soak the hay. One burning log, and the line of jars goes up at once."
"m6/A6","Marjana climbed onto the stool and tipped the iron cauldron. Boiling oil. One jar, then the next, then the next - thirty-seven sealed men, none of them ever waking enough to fight."
"m6/A7","The captain dropped from the upper window into the garden and ran. By the time the fire died, it was over."
"m6/B1","I say nothing. I set the jug down. I go upstairs."
"m6/B2","I know he's awake. I knock once."
"m6/B3","What did you say."
"m6/B4","Your men are planning to cut you out. Thirty-seven shares is thirty-seven shares you don't have to split. I want a cut. Enough to leave this house and never come back."
"m6/B5","You'd sell out your master's life for a share of stolen gold."
"m6/B6","Whatever loyalty I owed him I've already paid."
"m6/B7","He looks at me a long moment. Then steps past me. The jars open one by one. A blade. Then another. Until everything is quiet."
"m6/B8","The house was silent. Marjana counted her shares of stolen gold by the light of a single lamp. She was alive."
"m6/B9","Ali Baba was not. The forest road still went west, and a woman with gold could disappear into any city she chose. Whatever she had been to this household ended in this courtyard, before sunrise."
"m6/B10","She walked west until the household behind her was a story other people told. The cave still opened to the word, somewhere in the trees. But not for her. Not anymore."
"m6/C1","Where is our guest? Why are the jars still here?"
"m6/C2","Look inside."
"m6/C3","What - what did you -"
"m6/C4","The oil merchant was the captain of the forty thieves, master. Those jars held his men. They were going to kill us in our sleep."
"m6/C5","You did this? Alone?"
"m6/C6","The captain escaped, master. He'll come back. But the rest are finished. Help me bury them before the neighbours wake up."
"m6/end","(Click to continue...)"
"m7/1","Weeks pass. The captain returns as Khawaja Husain, a wealthy cloth merchant. He befriends Ali Baba's son. He gets invited to dinner."
"m7/2","Forgive me, good sir - I cannot eat any food that has salt in it."
"m7/3","Master — he refuses salt. He won't share bread with a man he plans to kill. And there is a dagger under his robe."
"m7/4","Wonderful evening. Marjana - perhaps you could dance for our guest?"
"m7/5","I would be honoured, master."
"m7/6","Each step closer. The dagger catches the lamplight."
"m7/6_strike","He reaches for his purse - his hand leaves the hidden blade. I strike."
"m7/7","WHAT HAVE YOU DONE?!"
"m7/strike_aftermath","The blade fell. Khawaja Husain folded silently against the divan — the rich merchant who had refused salt at this table. Marjana stood very still."
"m7/son_shock","Father — what is this? Marjana, what have you —"
"m7/A1","Master — open his robe. Look at the dagger. Then tell me he was your guest."
"m7/A_alibaba_doubt","A wealthy traveler. Of course he carries a blade for the road. That proves nothing, Marjana. Nothing."
"m7/A_marjana_plead","Master, please. Look at his face. The oil merchant. The chief of the forty thieves. It is the same man."
"m7/A_alibaba_refuse","I see a wealthy merchant who came to my home in friendship. And I see my slave-girl with a bloody knife. I see what is in front of me."
"m7/A_narrator","Ali Baba called for the city guards."
"m7/A_arrested","They took her without a struggle. She did not look back at the house. She had no more words for him."
"m7/A_end","(Click to continue...)"
"m7/B1","Master, I didn't kill your guest. I killed the man who murdered your brother."
"m7/C1","It's him. The oil merchant. The captain."
"m7/C2","He came to your table to kill you, master. He refused your salt because he knew."
"m7/end","(Click to continue...)"
"m_bad/1","Days passed. Khawaja Husain's body was buried with honour. The neighbours offered condolences for the slave-girl's madness."
"m_bad/2","Ali Baba sat in his garden after the funeral and tried to remember the last time he had been certain of anything."
"m_bad/3","The magistrate sent word. He needed to know what was to be done with her."
"m_bad/A1","Send her to the city prison. Let her think on what she did."
"m_bad/A2","She lived out her years in a stone cell. The guards said she rarely spoke. Some mornings she counted small things — pebbles, threads, sunbeams — like she was still trying to solve a puzzle no one else could see."
"m_bad/B1","Banish her. Tell the guards to look the other way at the city gate. I cannot bear to see her face again."
"m_bad/B2","She left the city before sunrise the next morning. No one stopped her at the gate. She walked west until the household behind her was a story other people told."
"m_bad/C1","Ali Baba lived another forty years. He prospered. The cave in the forest still opened to the word. The household was safe."
"m_bad/C2","He never visited the cave again. He never spoke her name out loud. He just wasn't the man it was kept for."
"m_bad/end","(Click to continue...)"
"m_replay_dinner","( Click to retry — back to the dinner. )"
"m_replay_courtyard","( Click to retry — back to the courtyard of jars. )"
"m_replay_start","( Click to play again — from the very beginning. )"
"m_fin_family","And so the story ends, with the household whole."
"m_fin_simple","The cave still opens to the word. Just not for them."
"m_fin_hunted","Some choices cannot be unmade."
"m_fin_betrayal","She lived. The household did not."
"m_fin_prison","Some prisons are not made of stone."
"m_fin_exile","She walked west. He stayed behind."
"m8/1","Marjana, come sit with me."
"m8/2","I've been thinking. After the cave, after Qasim, after the jars, after the dinner - I owe you everything. My life, my family, all of it. I freed you after the oil jars. But that wasn't enough."
"m8/3","You don't owe me anything, master."
"m8/4","I'm not your master anymore. I want you to marry my son. I want you to be family. And the cave - the secret - it passes to you. Not him. You. Because you're the only person I've ever met who wouldn't be destroyed by it."
"m8/A1","I accept, master. Not because of the gold. Because this is home."
"m8/B1","I was already family. I have been since the forest. But yes."
"m8/C1","Then it's settled."
"m8/C2","He smiles. The first time in months he looks like the man I met on the forest road. Somewhere out there the rock waits. The word still works. But the door is shut. And the house is safe."
"m1/1","We have enough wood. We should head back before the road darkens."
"m1/2","Hooves. A lot of them. Coming fast."
"m1/3","Riders. Quick - the bushes."
"m1/4","They duck low into the thicket, breath held. Forty horsemen pull up at the great rock."
"m1/5","Captain - it's the place. Same as before."
"m1/6","Stand back. Watch the rock."
"m1/7","Open, Sesame!"
"m1/8","The stone groans. Slides upward. The men file inside. The door shuts behind them."
"m1/9","An hour passes. The forest holds its breath. Then - the rock stirs."
"m1/10","Captain. All loaded. The horses are restless."
"m1/11","Mount up. We ride before sundown."
"m1/12","Shut, Sesame."
"m1/13","The stone slides closed. The thieves spur their horses and ride into the dust."
"m1/14","Another long while. The path is empty. The clearing is silent."
"m1/15","Did you see that?"
"m1/16","I saw it. The rock... opened. But the word - I couldn't catch it. They were too far."
"m1/17","But I have to see what's inside. There has to be more than what they took. Marjana - did YOU hear it?"
"m1/18","..."
"m1/19","Open, Sesame."
"m1/lie","I... I'm sorry, master. The wind, the rock - I couldn't catch it either. We should go home before they come back."
"m1/end","(Click to continue...)"
"m1/walk1","They turned their backs on the rock. The word stayed unspoken. The forest closed behind them, kinder for the things they had not learned."
"m1/walk2","Ali Baba returned to his woodcutting at first light. Marjana returned to her duties at the well, in the kitchen, by the hearth. Master and slave, the way it had always been - the way the world expected them to be."
"m1/walk3","No gold. No thieves. No brother lost. Just the days, falling one after the other, the way days do when no one is counting them."
"m_replay_forest","( Click to retry — back to the forest, the rock, the choice. )"
"m2/1","There's more gold here than in the whole city."
"m2/2","Master, we take only what the donkeys can carry. Cover it with firewood. If they don't notice anything missing, they won't come looking."
"m2/3","You're right. You're right."
"m2/4","They emerge into the late afternoon light. Six sacks heavy on the donkeys. The cave gapes open behind them."
"m2/5","Marjana - the door."
"m2/6","Shut, Sesame."
"m2/7","The stone seals. The path ahead is empty. They start the long walk home in silence."
"m2/8","No one can know. Not my wife. Not my brother. No one."
"m2/9","I won't say a word. But master - your wife will notice. We should have a story ready."
"m2/end","(Click to continue...)"
